department_code,city_name,city_id,lat,lon,country,admin1,population,timezone,source
01,Bourg-en-Bresse,DEP01-3031009,46.20574,5.2258,FR,Auvergne-Rhône-Alpes,45340,Europe/Paris,open-meteo-geocoding
02,Laon,DEP02-3007477,49.5631,3.62714,FR,Hauts-de-France,28688,Europe/Paris,open-meteo-geocoding
03,Moulins,DEP03-2991481,46.56459,3.33243,FR,Auvergne-Rhône-Alpes,23095,Europe/Paris,open-meteo-geocoding
04,Digne-les-Bains,DEP04-3021382,44.09252,6.23199,FR,Provence-Alpes-Côte d'Azur,18986,Europe/Paris,open-meteo-geocoding
05,Gap,DEP05-3016702,44.55858,6.07868,FR,Provence-Alpes-Côte d'Azur,42715,Europe/Paris,open-meteo-geocoding
06,Nice,DEP06-2990440,43.70313,7.26608,FR,Provence-Alpes-Côte d'Azur,342669,Europe/Paris,open-meteo-geocoding
07,Privas,DEP07-2985290,44.735,4.59918,FR,Auvergne-Rhône-Alpes,9545,Europe/Paris,open-meteo-geocoding
08,Charleville-Mézières,DEP08-3026613,49.7685,4.72487,FR,Grand Est,52415,Europe/Paris,open-meteo-geocoding
09,Foix,DEP09-3018174,42.96535,1.60705,FR,Occitanie,9860,Europe/Paris,open-meteo-geocoding
10,Troyes,DEP10-2971549,48.30073,4.08524,FR,Grand Est,60785,Europe/Paris,open-meteo-geocoding
11,Carcassonne,DEP11-3028641,43.21649,2.34863,FR,Occitanie,49600,Europe/Paris,open-meteo-geocoding
12,Rodez,DEP12-2983154,44.35258,2.57338,FR,Occitanie,28337,Europe/Paris,open-meteo-geocoding
13,Marseille,DEP13-2995469,43.29695,5.38107,FR,Provence-Alpes-Côte d'Azur,870731,Europe/Paris,open-meteo-geocoding
14,Caen,DEP14-3029241,49.18585,-0.35912,FR,Normandie,110624,Europe/Paris,open-meteo-geocoding
15,Aurillac,DEP15-3036016,44.92539,2.43983,FR,Auvergne-Rhône-Alpes,34724,Europe/Paris,open-meteo-geocoding
16,Angoulême,DEP16-3037598,45.64997,0.15345,FR,Nouvelle-Aquitaine,49468,Europe/Paris,open-meteo-geocoding
17,La Rochelle,DEP17-3006787,46.16308,-1.15222,FR,Nouvelle-Aquitaine,76810,Europe/Paris,open-meteo-geocoding
18,Bourges,DEP18-3031005,47.08333,2.4,FR,Centre-Val de Loire,67987,Europe/Paris,open-meteo-geocoding
19,Tulle,DEP19-2971482,45.26582,1.77233,FR,Nouvelle-Aquitaine,16969,Europe/Paris,open-meteo-geocoding
2A,Ajaccio,DEP2A-3038334,41.91886,8.73812,FR,Corse,54364,Europe/Paris,open-meteo-geocoding
2B,Bastia,DEP2B-3034640,42.70219,9.45123,FR,Corse,41001,Europe/Paris,open-meteo-geocoding
21,Dijon,DEP21-3021372,47.31667,5.01667,FR,Bourgogne-Franche-Comté,158002,Europe/Paris,open-meteo-geocoding
22,Saint-Brieuc,DEP22-2981280,48.51513,-2.76838,FR,Bretagne,52774,Europe/Paris,open-meteo-geocoding
23,Guéret,DEP23-3014383,46.17185,1.87166,FR,Nouvelle-Aquitaine,15853,Europe/Paris,open-meteo-geocoding
24,Périgueux,DEP24-2987967,45.18691,0.71439,FR,Nouvelle-Aquitaine,34770,Europe/Paris,open-meteo-geocoding
25,Besançon,DEP25-3033123,47.24878,6.01815,FR,Bourgogne-Franche-Comté,128426,Europe/Paris,open-meteo-geocoding
26,Valence,DEP26-2509954,39.47391,-0.37966,ES,Communauté Valencienne,792492,Europe/Madrid,open-meteo-geocoding
27,Évreux,DEP27-3019265,49.02414,1.15082,FR,Normandie,57795,Europe/Paris,open-meteo-geocoding
28,Chartres,DEP28-3026467,48.44685,1.48925,FR,Centre-Val de Loire,43838,Europe/Paris,open-meteo-geocoding
29,Quimper,DEP29-2984701,47.99597,-4.09795,FR,Bretagne,63849,Europe/Paris,open-meteo-geocoding
30,Nîmes,DEP30-2990363,43.83665,4.35788,FR,Occitanie,148236,Europe/Paris,open-meteo-geocoding
31,Toulouse,DEP31-2972315,43.60426,1.44367,FR,Occitanie,493465,Europe/Paris,open-meteo-geocoding
32,Auch,DEP32-3036281,43.64561,0.58856,FR,Occitanie,24494,Europe/Paris,open-meteo-geocoding
33,Bordeaux,DEP33-3031582,44.84044,-0.5805,FR,Nouvelle-Aquitaine,260958,Europe/Paris,open-meteo-geocoding
34,Montpellier,DEP34-2992166,43.61093,3.87635,FR,Occitanie,248252,Europe/Paris,open-meteo-geocoding
35,Rennes,DEP35-2983990,48.11198,-1.67429,FR,Bretagne,220488,Europe/Paris,open-meteo-geocoding
36,Châteauroux,DEP36-3026204,46.81248,1.69362,FR,Centre-Val de Loire,53301,Europe/Paris,open-meteo-geocoding
37,Tours,DEP37-2972191,47.39484,0.70398,FR,Centre-Val de Loire,141621,Europe/Paris,open-meteo-geocoding
38,Grenoble,DEP38-3014728,45.17869,5.71479,FR,Auvergne-Rhône-Alpes,158552,Europe/Paris,open-meteo-geocoding
39,Lons-le-Saunier,DEP39-2997626,46.67535,5.55575,FR,Bourgogne-Franche-Comté,20678,Europe/Paris,open-meteo-geocoding
40,Mont-de-Marsan,DEP40-2992771,43.89022,-0.49713,FR,Nouvelle-Aquitaine,36205,Europe/Paris,open-meteo-geocoding
41,Blois,DEP41-3032213,47.59432,1.32912,FR,Centre-Val de Loire,53660,Europe/Paris,open-meteo-geocoding
42,Saint-Étienne,DEP42-2980291,45.43389,4.39,FR,Auvergne-Rhône-Alpes,176280,Europe/Paris,open-meteo-geocoding
43,Le Puy-en-Velay,DEP43-3002465,45.04366,3.88523,FR,Auvergne-Rhône-Alpes,22718,Europe/Paris,open-meteo-geocoding
